operating-platform|Related User Agents
Apple iPod 4|551
Apple iPod 5|10,422
Apple iPod 6|22,785
Apple iPod 7|10,401
Apple iPod Iconia 5|1
Apple TV|50
Apple Watch|127
Apple Watch SE|258
Apple Watch Series 1|84
Apple Watch Series 2|116
Apple Watch Series 3|503
Apple Watch Series 4|500
Apple Watch Series 5|402
Apple Watch Series 6|285
Asus|427,888
Asus A37f|2
Asus BlackBerry Z Series|2
ASUS Chromebook|5,883
ASUS Chromebook (R70)|90
ASUS Chromebook (R93)|99
ASUS Chromebook 201|1
ASUS Chromebook 202|2,101
ASUS Chromebook 213|2
ASUS Chromebook 300|1
Asus Iconia (A500)|1
Asus Nexus 7|53,930
Asus Transformer (TF101)|1,168
Asus Transformer (TF101G)|151
Asus Transformer (TF300T)|5
Asus Transformer (TF300TG)|1
Asus Transformer (TF300TL)|1
Asus Transformer (TF700T)|4
Asus Transformer pad (tf103c)|9
Asus Transformer Pad (TF300T)|1,325
Asus Transformer Pad (TF300TG)|485
Asus Transformer Pad (TF300TL)|216
Asus Transformer pad (tf303cl)|5
Asus Transformer Pad (TF502T)|18
Asus Transformer Pad (TF700KL)|69
Asus Transformer Pad (TF700T)|1,017
Asus Transformer PAD (TF701T)|1
Asus Transformer Prime (TF201)|713
BlackBerry|68,509
BlackBerry 4147|1
BlackBerry 4152|1
BlackBerry 4268|1
BlackBerry 4316|1
BlackBerry 4848|1
BlackBerry 5080|1
BlackBerry 5098|1
BlackBerry 5116|1
BlackBerry 5440|1
BlackBerry 5729|1
BlackBerry 5876|1
BlackBerry 5954|1
BlackBerry 6050|1
BlackBerry 6055|1
BlackBerry 6258|1
BlackBerry 6623|1
BlackBerry 6750|1
BlackBerry 6792|1
BlackBerry 6800|1
BlackBerry 6802|1
BlackBerry 7100|18
BlackBerry 7130|12
BlackBerry 7230|4
BlackBerry 7250|9
BlackBerry 7280|1
BlackBerry 7285|1
BlackBerry 7290|10
BlackBerry 7520|15
BlackBerry 7750|1
BlackBerry 7964|1
BlackBerry 8013|1
BlackBerry 8100|46
BlackBerry 8110|23
BlackBerry 8120|16
BlackBerry 8130|22
BlackBerry 8220|6
BlackBerry 8230|7
BlackBerry 8300|22
BlackBerry 8310|68
BlackBerry 8320|45
BlackBerry 8330|60
BlackBerry 8350|12
BlackBerry 8504|1
BlackBerry 8520|642
BlackBerry 8530|87
BlackBerry 8592|1
BlackBerry 8700|25
BlackBerry 8703|10
BlackBerry 8800|16
BlackBerry 8820|12
BlackBerry 8830|23
BlackBerry 8900|224
BlackBerry 8910|1
BlackBerry 8980|1
BlackBerry 9000|263
BlackBerry 9100|56
BlackBerry 9105|89
BlackBerry 9156|1
BlackBerry 9220|102
BlackBerry 9300|455
BlackBerry 9310|34
BlackBerry 9315|21
BlackBerry 9320|189
BlackBerry 9330|61
BlackBerry 9350|37
BlackBerry 9360|286
BlackBerry 9370|40
BlackBerry 9380|130
BlackBerry 9500|41
BlackBerry 9520|59
BlackBerry 9530|32
BlackBerry 9550|30
BlackBerry 9553|1
BlackBerry 9620|15
BlackBerry 9630|92
BlackBerry 9650|114
BlackBerry 9670|34
BlackBerry 9700|666
BlackBerry 9710|1
BlackBerry 9720|77
BlackBerry 9780|279
BlackBerry 9788|2
BlackBerry 9790|220
BlackBerry 9800|336
BlackBerry 9810|276
BlackBerry 9850|84
BlackBerry 9860|211
BlackBerry 9890|1
BlackBerry 9900|616
BlackBerry PHP 7.1.30|1
BlackBerry Q10|563
BlackBerry Z Series|690
China MID Tablet|1,932
Chromebook|7,098
Chromebook 11|331
Chromebook 13|1
Chromebook 14|785
Chromebook 15|261
Chromebook 2|161
Chromebook 3|49
Chromebook 360|1
Chromebook 9|1
ColdFusion|1
Compaq|107,575
Compaq Presario A7F|16,438
Compaq Presario A7F (203)|7
Danger Hiptop 1.0|1
Danger Hiptop 2.0|1
Danger Hiptop 2.4|1
Danger Hiptop 3.1|1
